"State","DivisionId","DivisionAb","DivisionName","PartyAb","CandidateSurname","Votes"
"ACT",318,"BEAN","Bean","BTA","BTA_BEAN",4214
"ACT",318,"BEAN","Bean","GRN","GRN_BEAN",12365
"ACT",318,"BEAN","Bean","LP","LP_BEAN",33750
"ACT",318,"BEAN","Bean","ALP","ALP_BEAN",40177
"ACT",318,"BEAN","Bean","","Informal",2786
"ACT",101,"CANB","Canberra","BTA","BTA_CANB",3440
"ACT",101,"CANB","Canberra","LP","LP_CANB",26757
"ACT",101,"CANB","Canberra","","Informal",1909
"ACT",101,"CANB","Canberra","ALP","ALP_CANB",34643
"ACT",101,"CANB","Canberra","GRN","GRN_CANB",15280
"ACT",101,"CANB","Canberra","IND","WOODMAN",1494
"ACT",102,"FENN","Fenner","IND","WOODMAN",3213
"ACT",102,"FENN","Fenner","ALP","ALP_FENN",37067
"ACT",102,"FENN","Fenner","LP","LP_FENN",26839
"ACT",102,"FENN","Fenner","GRN","GRN_FENN",10485
"ACT",102,"FENN","Fenner","BTA","BTA_FENN",3018
"ACT",102,"FENN","Fenner","","Informal",2490
"NSW",103,"BANK","Banks","LP","COLEMAN",39423
"NSW",103,"BANK","Banks","ALP","GAMBIAN",35890
"NSW",103,"BANK","Banks","AJP","BARNES",1555
"NSW",103,"BANK","Banks","FFP","WU",1621
"NSW",103,"BANK","Banks","IND","SPANSWICK",1341
"NSW",103,"BANK","Banks","","Informal",6656
"NSW",103,"BANK","Banks","CDP","BONDAR",4777
"NSW",103,"BANK","Banks","GRN","CLARK",5225
"NSW",104,"BART","Barton","","Informal",7991
"NSW",104,"BART","Barton","IND","TORKEL",2236
"NSW",104,"BART","Barton","CDP","SUSILO",3714
"NSW",104,"BART","Barton","GRN","HEBER",7741
"NSW",104,"BART","Barton","LP","VARVARIS",31038
"NSW",104,"BART","Barton","ALP","BURNEY",41878
"NSW",104,"BART","Barton","SOL","TSOUKALAS",1095
"NSW",105,"BENN","Bennelong","CDP","WORSLEY",5903
"NSW",105,"BENN","Bennelong","GRN","ALICK",8424
"NSW",105,"BENN","Bennelong","LP","ALEXANDER",46497
"NSW",105,"BENN","Bennelong","ALP","HOWISON",26270
"NSW",105,"BENN","Bennelong","","Informal",4942
"NSW",105,"BENN","Bennelong","IND","MULCARE",2885
"NSW",105,"BENN","Bennelong","ARTS","GORDON",992
"NSW",105,"BENN","Bennelong","PIR","AUGUST",1260
"NSW",106,"BERO","Berowra","","Informal",4082
"NSW",106,"BERO","Berowra","IND","GALLAGHER",2859
"NSW",106,"BERO","Berowra","IND","WOODWARD",826
"NSW",106,"BERO","Berowra","GRN","HEYDE",10815
"NSW",106,"BERO","Berowra","CDP","THEW",5213
"NSW",106,"BERO","Berowra","LP","LEESER",53678
"NSW",106,"BERO","Berowra","ALP","ANDREWS",18693
"NSW",106,"BERO","Berowra","FUT","CLARKE",1933
"NSW",107,"BLAX","Blaxland","","Informal",10429
"NSW",107,"BLAX","Blaxland","SEP","ZABALA",980
"NSW",107,"BLAX","Blaxland","CDP","NASR",4810
"NSW",107,"BLAX","Blaxland","GRN","VIRAGO",3698
"NSW",107,"BLAX","Blaxland","LP","FINDLAY",19825
"NSW",107,"BLAX","Blaxland","ALP","CLARE",50572
"NSW",108,"BRFD","Bradfield","","Informal",3446
"NSW",108,"BRFD","Bradfield","IND","BERMAN",4248
"NSW",108,"BRFD","Bradfield","CDP","VALE",3497
"NSW",108,"BRFD","Bradfield","GRN","JONES",10936
"NSW",108,"BRFD","Bradfield","LP","FLETCHER",57231
"NSW",108,"BRFD","Bradfield","ALA","KELLY",1796
"NSW",108,"BRFD","Bradfield","ALP","GOMPERTZ",15926
"NSW",109,"CALA","Calare","NP","GEE",47717
"NSW",109,"CALA","Calare","","Informal",5490
"NSW",109,"CALA","Calare","IND","CRAIG",3836
"NSW",109,"CALA","Calare","XEN","BLOOMFIELD",5412
"NSW",109,"CALA","Calare","CDP","GESLING",2386
"NSW",109,"CALA","Calare","GRN","SKY",7238
"NSW",109,"CALA","Calare","ALP","JENNINGS",27132
"NSW",109,"CALA","Calare","LDP","DAVIS",6557
"NSW",111,"CHIF","Chifley","","Informal",7785
"NSW",111,"CHIF","Chifley","IND","KHAN",2194
"NSW",111,"CHIF","Chifley","CDP","GREEN",7820
"NSW",111,"CHIF","Chifley","GRN","JAMES",3883
"NSW",111,"CHIF","Chifley","LP","KUMAR",19394
"NSW",111,"CHIF","Chifley","ALP","HUSIC",52278
"NSW",112,"COOK","Cook","","Informal",4983
"NSW",112,"COOK","Cook","IND","BRETT",3153
"NSW",112,"COOK","Cook","CDP","CAPSIS",4430
"NSW",112,"COOK","Cook","GRN","HUNT",6198
"NSW",112,"COOK","Cook","LP","MORRISON",53321
"NSW",112,"COOK","Cook","ALP","ATKINS",24283
"NSW",113,"COWP","Cowper","","Informal",5613
"NSW",113,"COWP","Cowper","CEC","GOUGH",726
"NSW",113,"COWP","Cowper","CDP","LAWRENCE",3538
"NSW",113,"COWP","Cowper","GRN","VERNON",6901
"NSW",113,"COWP","Cowper","ALP","WOOD",14079
"NSW",113,"COWP","Cowper","NP","HARTSUYKER",47559
"NSW",113,"COWP","Cowper","IND","ARKAN",3457
"NSW",113,"COWP","Cowper","IND","OAKESHOTT",27200
"NSW",114,"CUNN","Cunningham","","Informal",4933
"NSW",114,"CUNN","Cunningham","NCP","FLANAGAN",1582
"NSW",114,"CUNN","Cunningham","GRN","BLAKEY",14200
"NSW",114,"CUNN","Cunningham","LP","BLICAVS",28263
"NSW",114,"CUNN","Cunningham","CDP","RYAN",3939
"NSW",114,"CUNN","Cunningham","ALP","BIRD",46414
"NSW",114,"CUNN","Cunningham","FUT","WATERS",2526
"NSW",115,"DOBE","Dobell","","Informal",5956
"NSW",115,"DOBE","Dobell","IND","BAKER",976
"NSW",115,"DOBE","Dobell","IND","STEPHENSON",1176
"NSW",115,"DOBE","Dobell","ON","EDWARDS",8326
"NSW",115,"DOBE","Dobell","CDP","ERVIN",2549
"NSW",115,"DOBE","Dobell","GRN","BOYD",5607
"NSW",115,"DOBE","Dobell","LP","McNAMARA",36586
"NSW",115,"DOBE","Dobell","ALP","McBRIDE",41454
"NSW",117,"EMON","Eden-Monaro","","Informal",6399
"NSW",117,"EMON","Eden-Monaro","IND","THALER",981
